Title,Price,Location,Amenities,Type,Agent,Link,Date
 2 Bedroom Flat ,"₦ 140,000,000",Gbagada Lagos, 2 Beds ,2 Bedroom Flat,"
               Barbsconsult homes 
             ",/property/2-bedroom-house-for-sale-gbagada-lagos-5NMQF," Updated 01 Nov 2025, Added 08 Sep 2025"
 3 Bedroom Flat ,"₦ 130,000,000",Yabatech Gra Yaba Lagos, 3 Beds ,3 Bedroom Flat,"
               Barbsconsult homes 
             ",/property/3-bedroom-flat-apartment-for-sale-yabatech-gra-yaba-lagos-6NMQF," Updated 01 Nov 2025, Added 08 Sep 2025"
 3 Bedroom Flat ,"₦ 150,000,000",Opebi Ikeja Lagos, 3 Beds 3 Baths ,3 Bedroom Flat,"
               Barbsconsult homes 
             ",/property/3-bedroom-flat-apartment-for-sale-opebi-ikeja-lagos-7NNKK," Updated 01 Nov 2025, Added 15 Sep 2025"
 4 Bedroom Semi Detached Duplex ," ₦ 180,000,000 ",Ikota Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Semi Detached Duplex,"
               Perfect Images 
             ",/property/4-bedroom-house-for-sale-ikota-lekki-lagos-0NQNF,"Updated 31 Oct 2025, Added 06 Oct 2025"
 4 Bedroom Maisoonette With Bq ,"₦ 280,000,000",Ikate Lekki Lagos, 4 Beds ,4 Bedroom Maisoonette With Bq,"
               Tugaris Realtor 
             ",/property/4-bedroom-house-for-sale-ikate-lekki-lagos-7NRGP," Updated 01 Nov 2025, Added 13 Oct 2025"
 5 Bedroom Detached Duplex With Pool/bq ,"₦ 300,000,000",Ajah Lagos, 5 Beds ,5 Bedroom Detached Duplex With Pool/bq,"
               Tugaris Realtor 
             ",/property/5-bedroom-house-for-sale-ajah-lagos-1NRGX," Updated 01 Nov 2025, Added 13 Oct 2025"
 2 Bedroom Apartment ,"₦ 185,000,000",Ikate Lekki Lagos, 2 Beds ,2 Bedroom Apartment,"
               Tugaris Realtor 
             ",/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-4NRQW," Updated 01 Nov 2025, Added 15 Oct 2025"
 Newly Built 3 Bedroom Detached Bungalow ,"₦ 100,000,000",Abraham Adesanya Estate Ado Ajah Lagos, 3 Beds 3 Baths ,Newly Built 3 Bedroom Detached Bungalow,"
               CEO Properties 
             ",/property/3-bedroom-house-for-sale-abraham-adesanya-estate-ado-ajah-lagos-6NTBY," Updated 01 Nov 2025, Added 29 Oct 2025"
 4 Bedroom Serviced Apartment With Pool/gym ,"$ 1,300,000",Old Ikoyi Ikoyi Lagos, 4 Beds 4 Baths ,4 Bedroom Serviced Apartment With Pool/gym,"
               Knight Angels 
             ",/property/4-bedroom-house-for-sale-old-ikoyi-ikoyi-lagos-7NSTH," Updated 01 Nov 2025, Added 26 Oct 2025"
 Luxury 7 Bedroom Mansion With Penthouse ,"₦ 2,100,000,000",Katampe Ext Abuja, 7 Beds 7 Baths ,Luxury 7 Bedroom Mansion With Penthouse,"
               Knight Angels 
             ",/property/7-bedroom-house-for-sale-katampe-ext-abuja-1NTAZ," Updated 01 Nov 2025, Added 29 Oct 2025"
" 4,417sqm Parcel Of Land ","₦ 3,800,000/sqm",Bourdillon Ikoyi Lagos, ,"4,417sqm Parcel Of Land","
               Knight Angels 
             ",/property/land-for-sale-bourdillon-ikoyi-lagos-4NSXK," Updated 01 Nov 2025, Added 28 Oct 2025"
 2 Bedroom Apartment ,"₦ 200,000,000",Ikate Lekki Lagos, 2 Beds ,2 Bedroom Apartment,"
               Tugaris Realtor 
             ",/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-1NRQY," Updated 01 Nov 2025, Added 15 Oct 2025"
 4 Bedroom Semi Detached Duplex With Bq ,"₦ 150,000,000",Vgc Lekki Lagos, 4 Beds ,4 Bedroom Semi Detached Duplex With Bq,"
               Tugaris Realtor 
             ",/property/4-bedroom-house-for-sale-vgc-lekki-lagos-0NSBE," Updated 01 Nov 2025, Added 20 Oct 2025"
 1 Bedroom (december Rate) ," ₦ 170,000/day ",Lekki Phase 1 Lekki Lagos, 1 Beds 1 Baths ,1 Bedroom (december Rate),"
               Sleek Stay 
             ",/property/1-bedroom-flat-apartment-for-shortlet-lekki-phase-1-lekki-lagos-6NQEZ,"Updated 31 Oct 2025, Added 02 Oct 2025"
 4 Bedroom Terraced Duplex ,"₦ 210,000,000","Off Ologolo Road, Lekki Lagos", 4 Beds 4 Baths ,4 Bedroom Terraced Duplex,"
               17Three Digital 
             ",/property/4-bedroom-house-for-sale-off-ologolo-road-lekki-lagos-3NRLV," Updated 01 Nov 2025, Added 14 Oct 2025"
 New 2 Bedroom Apartment ,"₦ 145,000,000",Ikate Lekki Lagos, 2 Beds 2 Baths ,New 2 Bedroom Apartment,"
               CASA PRIME 
             ",/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-2NPWQ," Updated 01 Nov 2025, Added 29 Sep 2025"
 5 Bedroom Fully Detached Duplex With Bq ,"₦ 1,500,000,000",Parkview Estate Ikoyi Lagos, 5 Beds 5 Baths ,5 Bedroom Fully Detached Duplex With Bq,"
               CASA PRIME 
             ",/property/5-bedroom-house-for-sale-parkview-estate-ikoyi-lagos-2NQXM," Updated 01 Nov 2025, Added 09 Oct 2025"
 Land Measuring 1050 Sqm ,"₦ 400,000,000",Lekki Lagos, ,Land Measuring 1050 Sqm,"
               CASA PRIME 
             ",/property/land-for-sale-lekki-lagos-1NQYR," Updated 01 Nov 2025, Added 09 Oct 2025"
 Land Measuring 1700 Sqm ,"₦ 2,500,000",Victoria Island Lagos, ,Land Measuring 1700 Sqm,"
               CASA PRIME 
             ",/property/land-for-sale-victoria-island-lagos-4NSLD," Updated 01 Nov 2025, Added 22 Oct 2025"
 30 Prime Plots Of Land ,"₦ 300,000,000",Chevron Lekki Lagos, ,30 Prime Plots Of Land,"
               CASA PRIME 
             ",/property/land-for-sale-chevron-lekki-lagos-7NRVW," Updated 01 Nov 2025, Added 17 Oct 2025"
 Waterfront Land Measuring 2.275 Sqm ,"₦ 3,800,000/sqm",Banana Island Ikoyi Lagos, ,Waterfront Land Measuring 2.275 Sqm,"
               CASA PRIME 
             ",/property/land-for-sale-banana-island-ikoyi-lagos-4NQYV," Updated 01 Nov 2025, Added 09 Oct 2025"
 1000sqm Land ,"₦ 2,400,000,000",Lekki Phase 1 Lekki Lagos, ,1000sqm Land,"
               CASA PRIME 
             ",/property/land-for-sale-lekki-phase-1-lekki-lagos-7NRNQ," Updated 01 Nov 2025, Added 15 Oct 2025"
 Newly Built 5 Bedroom Fully Detached Smart Duplex ,"₦ 800,000,000",Ikate Lekki Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Fully Detached Smart Duplex,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-ikate-lekki-lagos-5NRMC," Updated 01 Nov 2025, Added 14 Oct 2025"
 2 Bedroom Apartment ,"₦ 90,000,000","Garwood Court, Conservation Road, Lekki Lagos", 2 Beds 2 Baths ,2 Bedroom Apartment,"
               17Three Digital 
             ",/property/2-bedroom-flat-apartment-for-sale-garwood-court-conservation-road-lekki-lagos-5NSCP," Updated 01 Nov 2025, Added 20 Oct 2025"
 2 Bedroom Apartment With Bq ,"₦ 140,000,000","Off Ologolo Road, Ologolo Lekki Lagos", 2 Beds 2 Baths ,2 Bedroom Apartment With Bq,"
               17Three Digital 
             ",/property/2-bedroom-flat-apartment-for-sale-off-ologolo-road-ologolo-lekki-lagos-1NRHL," Updated 01 Nov 2025, Added 13 Oct 2025"
 3 Bedroom Bungalow ," ₦ 1,588,395/month ","Lekki Aviation Town, Granville, Majestic Bay, & The Parliament, Ibeju Lekki Lagos", 3 Beds 3 Baths ,3 Bedroom Bungalow,"
               HARMONY GARDEN 
             ",/property/3-bedroom-house-for-sale-lekki-aviation-town-granville-majestic-bay-the-parliament-ibeju-lekki-lagos-2NHZC,"Updated 31 Oct 2025, Added 05 Aug 2025"
 5 Bedroom Terraced Duplex ,"₦ 175,000,000","Opposite Oceanbay Estate, Orchid Road, Lekki Lagos", 5 Beds 5 Baths ,5 Bedroom Terraced Duplex,"
               17Three Digital 
             ",/property/5-bedroom-house-for-sale-opposite-oceanbay-estate-orchid-road-lekki-lagos-5NRJH," Updated 01 Nov 2025, Added 13 Oct 2025"
